2020:108:09:26:01  rack_temp  313.35 Kelvin, ambient_temp  307.36 Kelvin, ambient_hum   17.29 percent, frontend  299.48 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:09:31:01  rack_temp  313.15 Kelvin, ambient_temp  307.15 Kelvin, ambient_hum   17.68 percent, frontend  299.55 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:09:36:01  rack_temp  312.94 Kelvin, ambient_temp  306.94 Kelvin, ambient_hum   17.90 percent, frontend  299.55 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:09:41:01  rack_temp  312.94 Kelvin, ambient_temp  307.13 Kelvin, ambient_hum   18.01 percent, frontend  299.53 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:09:46:01  rack_temp  312.94 Kelvin, ambient_temp  306.94 Kelvin, ambient_hum   18.36 percent, frontend  299.46 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:09:51:01  rack_temp  312.54 Kelvin, ambient_temp  307.10 Kelvin, ambient_hum   18.24 percent, frontend  299.46 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:09:56:01  rack_temp  312.54 Kelvin, ambient_temp  306.85 Kelvin, ambient_hum   18.32 percent, frontend  299.43 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:10:01:01  rack_temp  312.33 Kelvin, ambient_temp  306.55 Kelvin, ambient_hum   18.64 percent, frontend  299.46 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:10:06:01  rack_temp  312.13 Kelvin, ambient_temp  306.78 Kelvin, ambient_hum   18.89 percent, frontend  299.43 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:10:11:01  rack_temp  312.13 Kelvin, ambient_temp  306.46 Kelvin, ambient_hum   19.04 percent, frontend  299.39 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:10:16:01  rack_temp  312.13 Kelvin, ambient_temp  306.17 Kelvin, ambient_hum   19.42 percent, frontend  299.41 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:10:21:01  rack_temp  311.93 Kelvin, ambient_temp  305.85 Kelvin, ambient_hum   19.81 percent, frontend  299.32 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:10:26:01  rack_temp  311.72 Kelvin, ambient_temp  305.43 Kelvin, ambient_hum   20.15 percent, frontend  299.37 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:10:31:01  rack_temp  311.72 Kelvin, ambient_temp  305.61 Kelvin, ambient_hum   20.33 percent, frontend  299.32 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:10:36:01  rack_temp  311.52 Kelvin, ambient_temp  305.13 Kelvin, ambient_hum   20.78 percent, frontend  299.36 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:10:41:01  rack_temp  311.32 Kelvin, ambient_temp  305.04 Kelvin, ambient_hum   20.87 percent, frontend  299.37 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:10:46:01  rack_temp  311.52 Kelvin, ambient_temp  304.98 Kelvin, ambient_hum   21.38 percent, frontend  299.36 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:10:51:01  rack_temp  311.32 Kelvin, ambient_temp  304.74 Kelvin, ambient_hum   21.87 percent, frontend  299.32 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:10:56:01  rack_temp  311.32 Kelvin, ambient_temp  304.65 Kelvin, ambient_hum   22.34 percent, frontend  299.34 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:11:01:01  rack_temp  311.11 Kelvin, ambient_temp  304.59 Kelvin, ambient_hum   21.63 percent, frontend  299.36 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:11:06:01  rack_temp  311.11 Kelvin, ambient_temp  305.08 Kelvin, ambient_hum   21.35 percent, frontend  299.30 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:11:11:01  rack_temp  310.91 Kelvin, ambient_temp  305.19 Kelvin, ambient_hum   21.32 percent, frontend  299.29 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:11:16:01  rack_temp  310.91 Kelvin, ambient_temp  305.19 Kelvin, ambient_hum   21.56 percent, frontend  299.30 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:11:21:01  rack_temp  310.91 Kelvin, ambient_temp  305.28 Kelvin, ambient_hum   21.87 percent, frontend  299.23 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:11:26:01  rack_temp  310.71 Kelvin, ambient_temp  304.98 Kelvin, ambient_hum   22.12 percent, frontend  299.20 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:11:31:01  rack_temp  310.50 Kelvin, ambient_temp  304.91 Kelvin, ambient_hum   22.29 percent, frontend  299.25 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:11:36:01  rack_temp  310.50 Kelvin, ambient_temp  304.63 Kelvin, ambient_hum   22.55 percent, frontend  299.25 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:11:41:01  rack_temp  310.30 Kelvin, ambient_temp  304.68 Kelvin, ambient_hum   22.92 percent, frontend  299.30 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:11:46:01  rack_temp  310.30 Kelvin, ambient_temp  305.28 Kelvin, ambient_hum   22.17 percent, frontend  299.22 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:11:51:01  rack_temp  310.30 Kelvin, ambient_temp  305.13 Kelvin, ambient_hum   22.43 percent, frontend  299.22 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:11:56:01  rack_temp  310.30 Kelvin, ambient_temp  304.98 Kelvin, ambient_hum   22.70 percent, frontend  299.27 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:12:01:01  rack_temp  310.30 Kelvin, ambient_temp  305.04 Kelvin, ambient_hum   22.84 percent, frontend  299.25 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:12:06:01  rack_temp  310.10 Kelvin, ambient_temp  305.13 Kelvin, ambient_hum   22.26 percent, frontend  299.25 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:12:11:01  rack_temp  310.10 Kelvin, ambient_temp  305.08 Kelvin, ambient_hum   21.96 percent, frontend  299.22 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:12:16:01  rack_temp  310.10 Kelvin, ambient_temp  305.45 Kelvin, ambient_hum   21.74 percent, frontend  299.29 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:12:21:01  rack_temp  310.10 Kelvin, ambient_temp  305.28 Kelvin, ambient_hum   21.70 percent, frontend  299.20 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:12:26:01  rack_temp  310.10 Kelvin, ambient_temp  305.26 Kelvin, ambient_hum   22.14 percent, frontend  299.34 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:12:31:01  rack_temp  310.10 Kelvin, ambient_temp  305.08 Kelvin, ambient_hum   22.43 percent, frontend  299.20 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:12:36:01  rack_temp  309.89 Kelvin, ambient_temp  305.04 Kelvin, ambient_hum   22.63 percent, frontend  299.25 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:12:41:01  rack_temp  310.10 Kelvin, ambient_temp  305.00 Kelvin, ambient_hum   22.73 percent, frontend  299.20 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:12:46:01  rack_temp  310.10 Kelvin, ambient_temp  304.61 Kelvin, ambient_hum   23.12 percent, frontend  299.20 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:12:51:01  rack_temp  309.89 Kelvin, ambient_temp  304.19 Kelvin, ambient_hum   24.09 percent, frontend  299.22 Kelvin, rcv3_lna  273.20 Kelvin
